"dceGroup","dceType","dceID","SurveyDateTime","StreamName","SiteName","dceName","SiteDescription","WettedWidth","SiteLength","BSCoordinateSource","BSLatitudeDD","BSLongitudeDD","BSPositionAccuracy","Datum","GRTSSiteID","GRTSLatitudeDD","GRTSLongitudeDD","Notes","PTAGISrkmCode","SubBasin","TSCoordinateSource","TSLatitudeDD","TSLongitudeDD","TSPositionAccuracy","Watershed","ProgramID","ProtocolName","ProjectName","SampledStatus","Gradient","WidthCategory","CreatedBy","CreatedDate","LastUpdatedBy","LastUpdatedDate","recordID_fldLog","dateTrans","dceID_cdb","ProgramName","DesignName","dataLoggerID","LoggerAppVersion","importDate","importSrc","importRecID","trans_SupDB","TimeZone","Crew","Equipment","rowID","Season","EndDateTime","SurveyDirection","VisitNumber","WaterTemperatureBegin","WaterTemperatureEnd","TotalFishCount","ReleaseDateTime","ReleaseTemperature","ReleaseSiteName","SurveyTiming","OriginalFile","dceNameARS","TSWettedWidth","BSWettedWidth","AvgWettedWidth","dataSet","GPSLogInterval","RiverLocationDS","RiverLocationUS","SurveyType","TrapLocation","DSReleaseLongitude","DSReleaseLatitude","DSPositionAccuracy","USReleaseLongitude","USReleaseLatitude","QA_Feb1016_RelationToFldLog_LF","QA_Feb1016_FldLog_LF_DceID"
"2","Depletion",2,"2011-07-19 21:50:00","Pattee Creek","LEM-141151","LEM-141151-20110719-1550","",6,120,"Handheld GPS",45.01039,-113.56494,4,"NAD83","CBW05583-141151",45.0114654,-113.5652112,"","","Lemhi","Handheld GPS",45.01135,-113.56508,6,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Mitch Daniel","2011-07-19 21:50:00","Mitch Daniel","2011-07-19 21:51:00",,,6191,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Jake Kwapiszeski;Jordan Lanman","Samus Shocker 4",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (40) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 2",2
"3","Depletion",3,"2011-07-13 22:28:00","Pattee Creek","LEM-193375","LEM-193375-20110713-1628","",,120,"Handheld GPS",44.99578,-113.56539,3,"NAD83","CBW05583-193375",44.99608263,-113.5656399,"","","Lemhi","Handheld GPS",44.99656,-113.56524,4,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Sampled",,"6","Mitch Daniels","2011-07-13 22:29:00","Mitch Daniels","2011-07-14 00:53:00",,,6192,,,"0030BD2D3F320108-3130303333360000",,,,,,,"Jody White;Mitch Daniels","Electro-Shocker",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (56) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 3",3
"4","Depletion",4,"2011-07-04 17:56:00","Little Eightmile Creek","LEM-217551","LEM-217551-20110704-1156","",,120,"Handheld GPS",44.74408,-113.45775,3,"NAD83","CBW05583-217551",44.74456561,-113.4568711,"","","Lemhi","Handheld GPS",44.7449,-113.45699,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Mitch Daniel","2011-07-04 17:56:00","Mitch Daniel","2011-07-04 17:57:00",,,6193,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Jordan Lanman","Samus Shocker 4",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (5) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 4",4
"5","Depletion",5,"2011-07-14 19:49:00","Pattee Creek","LEM-258911","LEM-258911-20110714-1349","",,120,"Handheld GPS",45.02142,-113.55992,4,"NAD83","CBW05583-258911",45.02225856,-113.5588405,"","","Lemhi","Handheld GPS",45.02211,-113.5588,4,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Jake Kwapiszeski","2011-07-14 19:49:00","Jake Kwapiszeski","2011-07-19 21:45:00",,,6194,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Phil Adams","Samus Shocker 3",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (36) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 5",5
"6","Depletion",6,"2011-07-03 16:25:00","Texas Creek","LEM-394703","LEM-394703-20110703-1025","",6,120,"Handheld GPS",44.67939,-113.3502,3,"NAD83","CBW05583-394703",44.67931766,-113.3500436,"","","Lemhi","Handheld GPS",44.67867,113.34978,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Mitch Daniel","2011-07-03 20:57:00","Mitch Daniel","2011-07-03 20:57:00",,,6195,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Phil Adams;Matt Brower","Samus Shocker 4",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (8) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 6",6
"15","Recapture",16,"2011-07-01 13:33:00","Big Springs Creek","Big0Springs-5","Big0Springs-5-20110701-0733","",,200,"Handheld GPS",44.7168,-113.41599,3,"NAD83","Big0Springs-5",44.71676,113.41578,"","","Lemhi","Handheld GPS",44.71579,-113.41447,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"10","Jordan Lanman","2011-07-01 13:34:00","Jordan Lanman","2011-07-01 18:29:00",,,6205,,,"0030BD2D3F320108-3732313935000000",,,,,,,"Claire Niewendorp;Alex Ray;Jake Kwapiszeski;Phil Adams;Matt Brower;Jordan Lanman","Samus Shocker 3",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unresolved.  Once match with fldLog_LF determined via datetime part of dceName, it NOT confirmed via same record count between the 2 fishObs tables.  However, the siteName seems to match up.",776
"17","Count",17,"2011-06-21 21:37:00","Little Springs Creek","LEM-00001A","LEM-00001A-20110621-1537","",,120,"Handheld GPS",44.75625,-113.49713,3,"NAD83","CBW05583-00001A",44.7562,-113.49704,"","","Lemhi","Handheld GPS",44.75537,-113.49645,2.6,,"","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Mitch Daniel","2011-06-21 22:08:00","Mitch Daniel","2011-06-21 22:08:00",,,6206,,,"0030BD2D3F320108-3733303339000000",,,,,,,"Phil Adams;Matt Brower","Samus Shocker 3",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Triple match <dceID, siteName, dceName> with fldLog_LoadedFolders + data found in fld_FishObservation.",17
"18","Depletion",18,"2011-06-21 15:05:00","Little Springs Creek","LEM-00001B","LEM-00001B-20110621-0905","",,160,"Handheld GPS",44.76625,-113.51611,0,"NAD83","CBW05583-00001B",44.76625,-113.51611,"","","Lemhi","Handheld GPS",44.76625,-113.51611,0,,"","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"8","Gus Wathen","2011-06-21 16:06:00","Gus Wathen","2011-06-21 16:07:00",,,6207,,,"0030BD2D3F320108-3733303339000000",,,,,,,"Braden Lott;Matt Brower","Samus Shocker 4",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Triple match <dceID, siteName, dceName> with fldLog_LoadedFolders + data found in fld_FishObservation.",18
"19","Count",19,"2011-06-19 18:03:00","Little Springs Creek","spring training 1","spring training 1-20110619-1100","",,160,"Handheld GPS",44.76867,-113.51851,3,"NAD83","spring training 1",,,"","","Lemhi","Handheld GPS",,,,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"8","Jake Kwapiszeski","2011-06-19 18:03:00","Jake Kwapiszeski","2011-06-19 18:03:00",,,6208,,,"0030BD2D3F320108-3733303434000000",,,,,,,"Gus Wathen;Matt Brower","Samus Shocker 4;Samus Shocker 6",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (10) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 19",19
"20","Mark",20,"2011-07-31 18:38:00","Lemhi River","LEM-020943","LEM-020943-20110731-1238","",,360,"Handheld GPS",44.73383,-113.44444,3,"NAD83","CBW05583-020943",44.73342394,-113.4445329,"","","Lemhi","Handheld GPS",44.73257,-113.44192,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"18","Jake Kwapiszeski","2011-07-31 18:38:00","Jake Kwapiszeski","2011-08-02 03:48:00",20,"2011-08-09 14:53:11",6209,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Phil Adams","Spinning Rod;Fly Rod",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 224 vs 225.  fldLog_LF.dceID = 20",20
"20","Recapture",21,"2011-08-01 23:46:00","Lemhi River","LEM-020943","LEM-020943-20110801-1746","",,360,"Handheld GPS",44.73383,-113.44444,3,"NAD83","CBW05583-020943",44.73342394,-113.4445329,"","","Lemhi","Handheld GPS",44.73257,-113.44192,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"18","Gus Wathen","2011-08-01 23:46:00","Gus Wathen","2011-08-02 03:48:00",21,"2011-08-09 14:53:11",6210,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Phil Adams","Samus Shocker 4",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 77 vs 77.  fldLog_LF.dceID = 21",21
"22","Mark",22,"2011-07-28 21:30:00","Lemhi River","LEM-061903","LEM-061903-20110728-1530","",,240,"Handheld GPS",44.72793,-113.42231,2,"NAD83","CBW05583-061903",44.72725095,-113.4218199,"","","Lemhi","Handheld GPS",44.72665,-113.42231,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"12","Phil Adams","2011-07-28 21:31:00","Jake Kwapiszeski","2011-07-29 19:57:00",22,"2011-08-09 14:53:11",6211,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Phil Adams;Matt Brower;Jordan Lanman","Samus Shocker 3;Samus Shocker 4",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 202 vs 202.  fldLog_LF.dceID = 22",22
"22","Recapture",23,"2011-07-30 16:50:00","Lemhi River","LEM-061903","LEM-061903-20110730-1050","",,240,"Handheld GPS",44.72793,-113.42231,2,"NAD83","CBW05583-061903",44.72725095,-113.4218199,"","","Lemhi","Handheld GPS",44.72665,-113.42231,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"12","Gus Wathen","2011-07-30 16:50:00","Gus Wathen","2011-07-30 16:50:00",23,"2011-08-09 14:53:11",6212,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Jake Kwapiszeski","Samus Shocker 3;Samus Shocker 4",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 205 vs 205.  fldLog_LF.dceID = 23",23
"24","Count",24,"2011-07-20 19:30:00","Texas Creek","LEM-075215","LEM-075215-20110720-1330","",6,120,"Handheld GPS",44.65658,-113.32203,3,"NAD83","CBW05583-075215",44.65509543,-113.3204652,"","","Lemhi","Handheld GPS",44.65571,-113.32127,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Matt Brower","2011-07-27 22:56:00","Matt Brower","2011-07-27 22:56:00",24,"2011-08-09 14:53:11",6213,,,"0030BD2D3F320108-3733303437000000",,,,,,,"","Samus Shocker 4",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unresolved.  Once match with fldLog_LF determined via datetime part of dceName, it NOT confirmed via same record count between the 2 fishObs tables.  However, the siteName seems to match up.",782
"25","Depletion",25,"2011-08-02 16:00:00","Hawley Creek","LEM-149967","LEM-149967-20110802-1000","",6,120,"Handheld GPS",44.66642,-113.19228,3,"NAD83","CBW05583-149967",44.66649136,-113.19275001,"","","Lemhi","Handheld GPS",44.6668,-113.1908,5,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Phil Adams","2011-08-02 17:48:00","Phil Adams","2011-08-02 17:48:00",25,"2011-08-09 14:53:11",6214,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Matt Brower;Jordan Lanman","Samus Shocker 4",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (36) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 25",25
"26","Count",26,"2011-07-29 20:05:00","Texas Creek","LEM-271823","LEM-271823-20110729-1405","",,120,"Handheld GPS",44.66449,-113.32952,3,"NAD83","CBW05583-271823",44.66512816,-113.3283757,"","","Lemhi","Handheld GPS",44.66407,-113.32818,0,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Mitch Daniel","2011-07-29 20:05:00","Mitch Daniel","2011-07-29 20:05:00",26,"2011-08-09 14:53:11",6215,,,"0030BD2D3F320108-3733303437000000",,,,,,,"","Samus Shocker 3",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not fully resolved but: No data in fldLog_fishObs using site/dceName join.  Also no pitTagID's from dce found in entire fldLog_FishObs, indicating that data not brought in through fldLog_ sub tables.",-99999
"27","Depletion",27,"2011-07-27 19:33:00","Canyon Creek","LEM-042447","LEM-042447-20110727-1333","",,120,"Handheld GPS",44.69656,-113.33892,3,"NAD83","CBW05583-042447",44.69606494,-113.34061686,"","","Lemhi","Handheld GPS",44.69699,-113.33771,3,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Jake Kwapiszeski","2011-07-27 19:33:00","Jake Kwapiszeski","2011-07-27 23:27:00",27,"2011-08-09 14:53:11",6216,,,"0030BD2D3F320108-3733303437000000",,,,,,,"Jake Kwapiszeski","Samus Shocker 3",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Using right(dceName,20)/right(dceFolder) as join, obs counts in fld_fishObs and fldLog_fishObs are equal or very close: 24 vs 24.  fldLog_LF.dceID = 27",27
"28","Depletion",28,"2011-08-08 17:19:00","Kenney Creek","LEM-100191","LEM-100191-20110808-1119","",,160,"Handheld GPS",45.06117,-113.58569,8,"NAD83","CBW05583-100191",45.06121023,-113.5853862,"","522.303.416.092.019.006","Lemhi","Handheld GPS",45.06162,-113.58467,12,,"","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"8","Mike Biggs","2011-08-08 17:20:00","Mike Biggs","2011-08-08 17:20:00",28,"2011-08-27 16:03:51",6217,,,"0030BD2D3F320108-3733303339000000",,,,,,,"Brent Beller;Emily Conant","Smith Root Shocker 1",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (51) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 28",28
"29","Depletion",29,"2011-07-21 14:45:00","Bohannon Creek","LEM-102239","LEM-102239-20110721-0845","",,120,"Handheld GPS",45.11286,-113.74532,4,"NAD83","CBW05583-102239",45.11297942,-113.7436079,"","","Lemhi","Handheld GPS",45.11335,-113.74426,5,"","","ISEMP Salmon and John Day Basin Remote PIT Tagging Protocol 2011","ISEMP Salmon Lemhi (Salmon Basin, ID) PIT Tagging by QCI","Meets Criteria",,"6","Brent Beller","2011-07-21 14:38:00","Brent Beller","2011-07-21 14:38:00",29,"2011-08-27 16:03:51",6218,,,"0030BD2D3F320108-3733303339000000",,,,,,,"Nick Hobart;Trevor Phillips","Smith Root Shocker 1",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved.  Same number of observations (89) found in fld_FishObservation and fldLog_FishObservation using right(dceName,20)/right(dceFolder) as join.  fldLog_LF.dceID = 29",29
